obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
xb_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Z_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Y_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MA_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MB_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
pa_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pb_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pc_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pd_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pe_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pf_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pg_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ph_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pj_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pk_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pl_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pm_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pn_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pp_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pq_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pxa_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
pub1_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub2_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub3_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub4_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub5_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub6_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub7_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub8_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pub9_,current/quest/G1/puberty/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sabc_,current/quest/G1/schools/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sd_,current/quest/G1/schools/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
